molecule_chembl_id,canonical_smiles,standard_value,pIC50,NumAromaticRings,LogP,MolecularWeight,NumHDonors,NumHAcceptors
CHEMBL2019049,Cl.O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2c(O)cc(O)cc2o1,0.065,10.187086643357144,4,7.669100000000007,628.5970000000004,4,7
CHEMBL5190569,COc1cc(/C=C/c2nnc(-c3ccc(C(F)(F)F)cc3)o2)ccc1O,0.068,10.167491087293763,3,4.640000000000003,362.307,1,5
CHEMBL307004,Clc1ccc2c(NCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c3c(nc2c1)CCCC3,0.07,10.154901959985743,4,9.321899999999998,561.6010000000001,2,4
CHEMBL225567,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.07,10.154901959985743,4,6.969600000000006,503.0900000000003,3,3
CHEMBL2019053,Cl.O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2cc(O)c(O)cc2o1,0.09,10.045757490560675,4,7.6691000000000065,628.5970000000004,4,7
CHEMBL5197518,COc1cc(/C=C/c2nnc(-c3ccc(OC(F)(F)F)cc3)o2)ccc1O,0.092,10.036212172654444,3,4.519800000000003,378.30600000000004,1,6
CHEMBL5417346,Br.CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1[N+](=O)[O-],0.1,10.0,3,4.461040000000004,706.7030000000002,0,10
CHEMBL381499,O=C(CCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NCCc1c[nH]c2ccccc12,0.1,10.0,4,6.969600000000005,503.0900000000004,3,3
CHEMBL2019035,COc1ccc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc(=O)c2c1.Cl,0.1,10.0,4,8.266500000000004,626.6250000000002,2,6
CHEMBL223443,O=C(Cc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.12,9.920818753952375,4,6.969600000000006,503.0900000000003,3,3
CHEMBL4751100,COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,0.12,9.920818753952375,3,7.997300000000008,580.2130000000001,3,6
CHEMBL225021,O=C(CCCc1c[nH]c2ccccc12)NCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.13,9.886056647693163,4,6.969600000000006,503.0900000000003,3,3
CHEMBL5433692,CC[N+](CC)(CCCCCn1c(C)cc(=O)n(CCCCC[N+](CC)(CC)Cc2ccccc2)c1=O)Cc1ccccc1.[Br-].[Br-],0.14,9.853871964321762,3,0.7806200000000072,750.7050000000004,0,4
CHEMBL3621322,CC[N+](CC)(CCCCCn1c(C)cc(=O)n(CCCCC[N+](CC)(CC)Cc2ccccc2[N+](=O)[O-])c1=O)Cc1ccccc1[N+](=O)[O-].[Br-].[Br-],0.14,9.853871964321762,3,0.5970200000000063,840.6990000000003,0,8
CHEMBL5187881,COc1cc2c(cc1OC)C(=O)/C(=C/c1cc[n+](Cc3ccc(F)cc3)cc1)OC2.[Br-],0.15,9.823908740944319,3,0.9366999999999996,486.3370000000001,0,4
CHEMBL5286535,COc1cc(/C=C/c2nnc(-c3ccc(F)cc3F)o2)ccc1O,0.19,9.721246399047171,3,3.899400000000002,330.29,1,5
CHEMBL32823,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,0.2,9.698970004336019,4,8.015100000000007,492.7110000000004,2,4
CHEMBL223443,O=C(Cc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.2,9.698970004336019,4,6.969600000000006,503.0900000000003,3,3
CHEMBL2019041,COc1cc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc(=O)c2cc1OC.Cl,0.2,9.698970004336019,4,8.275100000000004,656.6510000000003,2,7
CHEMBL5419243,CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1C(F)(F)F.[Br-],0.2,9.698970004336019,3,1.9977400000000036,728.6950000000005,0,8
CHEMBL5219841,COc1cccc2c1CCCC2NS(=O)(=O)NC(=O)OCc1ccccc1,0.209,9.679853713888946,2,2.833400000000001,390.4610000000001,2,5
CHEMBL5272625,COc1cc(/C=C/c2nnc(-c3ccc(Cl)cc3Cl)o2)ccc1O,0.22,9.657577319177793,3,4.9280000000000035,363.20000000000005,1,5
CHEMBL225326,O=C(Cc1c[nH]c2ccc(Br)cc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.23,9.638272163982407,4,7.732100000000006,581.9860000000001,3,3
CHEMBL1912059,O=C(CCCC[C@@H]1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.23,9.638272163982407,2,6.3993000000000055,478.12700000000035,2,5
CHEMBL1940738,COc1cc2oc(=O)c(OCCCCOc3cc(O)cc(N(C)C)c3)c(C)c2cc1OC,0.236,9.627087997029893,3,4.128220000000003,443.49600000000015,1,8
CHEMBL194823,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.25,9.602059991327963,2,6.3993000000000055,478.12700000000035,2,5
CHEMBL194823,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.25,9.602059991327963,2,6.3993000000000055,478.12700000000035,2,5
CHEMBL194823,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.25,9.602059991327963,2,6.3993000000000055,478.12700000000035,2,5
CHEMBL194823,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.253,9.596879478824182,2,6.3993000000000055,478.12700000000035,2,5
CHEMBL194823,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.253,9.596879478824182,2,6.3993000000000055,478.12700000000035,2,5
CHEMBL194823,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.253,9.596879478824182,2,6.3993000000000055,478.12700000000035,2,5
CHEMBL4785201,COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,0.27,9.568636235841012,3,8.387400000000007,594.24,3,6
CHEMBL1187434,COc1cc2c(cc1OC)C(=O)C(CC1CCN(CCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)CC1)C2,0.27,9.568636235841012,3,6.743500000000007,562.1540000000001,1,6
CHEMBL3216655,COc1cc2c(cc1OC)C(=O)C(CC1CCN(CCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)CC1)C2.Cl.Cl.Cl,0.27,9.568636235841012,3,8.008900000000002,671.5370000000001,1,6
CHEMBL5269238,COc1cc(/C=C/c2nnc(-c3ccc(F)cc3)o2)ccc1O,0.284,9.546681659952963,3,3.760300000000002,312.3,1,5
CHEMBL2113367,CC1=C[C@@H]2Cc3nc4cc(Cl)ccc4c(NCCCN(C)CCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)c3[C@H](C1)C2.Cl.Cl.Cl,0.29,9.537602002101044,4,10.856099999999984,752.102,2,5
CHEMBL340427,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.3,9.522878745280337,4,4.565300000000004,446.5030000000001,1,6
CHEMBL340427,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.3,9.522878745280337,4,4.565300000000004,446.5030000000001,1,6
CHEMBL2019032,Cl.O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2ccccc2o1,0.3,9.522878745280337,4,8.257900000000005,596.5990000000004,2,5
CHEMBL340427,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,0.3,9.522878745280337,4,4.565300000000004,446.5030000000001,1,6
